,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
324,Pasta-Mexicana,476.6,73.1,16.0,13.9,0,25
325,Masala-bhindi-Fry,481.6,71.7,18.8,20.0,0,572
326,Tex-Mex-Cornbread-Salad,494.8,62.8,20.4,20.1,0,480
327,Boondi,265.1,51.8,3.5,7.5,0,2168
328,Double-Chocolate-Banana-Muffins,403.4,64.0,16.8,4.9,0,261
329,Spanish-Rice,304.5,53.8,7.3,4.7,0,277
330,Pineapple-Rice-Pudding,418.6,84.5,6.6,5.1,0,73
331,Southern-Barbecued-Bean-Casserole,263.7,32.1,7.9,17.4,0,520
332,Potato-and-Ham-Soup,402.8,53.4,15.5,13.9,0,11
333,Stovies,416.5,94.9,0.5,10.8,0,1232
334,Holland-Dutch-Rolls,485.1,87.0,8.9,13.1,0,2169
335,grilled-tuna-with-capers-and-tomato-sauce,238.3,3.3,12.6,27.4,0,83
336,Chimigangas,392.7,79.5,2.8,14.7,0,2170
337,Italian-Olive-Bread,252.3,46.4,4.3,6.4,0,92
338,Bake-Mine-Vegetarian,369.4,46.6,15.5,14.5,0,94
339,Chunky-Vegetarian-Chili,288.2,55.6,3.4,11.6,0,351
340,Corn---Veggie-Salad-with-Spicy-Lime-Dressing,368.0,84.5,1.0,6.9,0,35
341,Fried-Bhindi,250.1,36.3,10.3,10.8,0,57
342,Kebabs,200.4,17.9,2.0,27.0,0,734
343,Penne-with-Spinach-and-Garlic,373.8,74.0,6.3,8.4,0,328
344,Turkish-Spinach,277.8,52.6,5.1,11.8,0,430
345,Lima-Bean--Turkish-,277.2,48.7,4.9,13.4,0,813
346,Kimchee,272.8,57.9,1.0,15.9,0,2172
347,Tomato-Pappu,348.0,45.4,13.0,15.9,0,26
348,Fiesta-Tamale-Pie,224.6,23.9,7.9,16.8,0,517
349,Missi-Roti,303.2,42.4,9.7,12.8,0,2174
350,Ginger-Pear-Preserves,339.2,88.8,0.2,0.6,0,98
351,Raisin-Bread,355.6,72.2,3.5,9.2,0,110
352,Brandied-Oranges,302.9,70.5,0.2,1.6,0,735
353,Aunt-Edna-s-Dill-Pickles,241.8,55.6,1.4,8.4,0,452
354,Lemon-Noodles,382.0,70.3,5.8,11.9,0,37
355,-quot--Seva--quot--Bean--amp--Vegetable-Stew,271.6,51.4,2.5,12.9,0,152
356,Pasta-and-Crab-Meat-Salad,282.5,37.5,10.3,9.8,0,25
